"ABSlider","<AB> Slider","a"
"JCPenney","JC Penney","a"
"JPMorgan","JP Morgan","a"
"M*A*S*H","MASH","a"
"neospeech","neo speech [CI]","a"
"readspeaker","R IY1 D # S P IY2 K ER0 [CI]","w","cjo9ZCBzcFo9aydy"
"voicecop","voice cop [CI]","a"
"voicedg","voice deamonstration[CI]","a"
"voicedictionary","voice dictionary [CI]","a"
"voiceez","voice <EZ>[CI]","a"
"voiceware","V OY1 S W EH2 R [CI]","w","djNpc3dWcg=="
